窗口,配置,累计,年化,波动,最大回撤,Calmar,夏普,索提诺,平均仓位,换手
2025+,AB2 ×1.20 + 波动25%双向,1.477656262727285,0.7136886309949451,0.22258928548583648,-0.14464462875553186,4.9340831881228695,2.5331399303908033,4.2599563666471045,0.6330925972349972,34.527255883731925
2025+,S5 平滑后×1.30 上限100%,1.4715660328071167,0.7111866175957204,0.3047573654198409,-0.1743972591214613,4.077969006957884,1.9162265073349591,3.0441651938667538,0.8745346278714394,23.53114155877464
2025+,B1 波动目标30% 只降,1.4450542414185685,0.700265616989568,0.21562669161170264,-0.14226710450673652,4.922189282037509,2.5712934264490794,4.36966354021797,0.6103397670096031,34.919479923580994
2025+,B4 波动目标30% 双向,1.430138012442482,0.6941000247480933,0.21941714788364075,-0.1446446287555313,4.798657445629839,2.5140782951171645,4.228726320044782,0.6229888184004966,34.15905826217936
2025+,S4 平滑后×1.30,1.4168079273586343,0.688577038044734,0.27911632986280055,-0.164367755857024,4.189246451984766,2.0177813633372943,3.236772810045865,0.8011956573812198,26.02938635455379
2025+,AB1 ×1.10 + 波动25%双向,1.3949135429153587,0.679478712406101,0.2132376847792653,-0.1410390194951936,4.817664748649638,2.5400139880536234,4.260717395953678,0.608027014093759,34.08873238392373
2025+,AB3 ×1.20 + 波动20%双向,1.3721496976680596,0.6699831674841172,0.20496218830586352,-0.13509010936371224,4.959527908000096,2.606451649844827,4.397671005369765,0.5840569140163142,33.547017783924815
2025+,B2 波动目标25% 只降,1.3104124982622047,0.6440423582451014,0.200215579811001,-0.13728713203191822,4.691207025108278,2.585127862802194,4.35347137859818,0.5699336333985195,33.94380263194115
2025+,B5 波动目标25% 双向,1.2969244611980333,0.6383376106167742,0.2022494147593881,-0.13724266501373972,4.651160122494478,2.543947487985243,4.260684798951576,0.5771880268843181,33.4076815431865
2025+,B3 波动目标20% 只降,1.2163119096001602,0.6039545408894835,0.18292121475151088,-0.12635318199918644,4.779891818580192,2.6762788116986114,4.584159399359473,0.5195905268678412,31.40357843231904
2025+,B7 波动目标20% 双向1.5,1.2085543545145288,0.6006191765742366,0.18330791185870265,-0.12635318199918588,4.753494665279625,2.6596400059728094,4.5519100467731795,0.5253251125429855,30.995801748965704
2025+,B6 波动目标20% 双向,1.2069576127452,0.5999320663329699,0.18316908992900582,-0.12635318199918633,4.748056652319479,2.659168897329261,4.550859543439907,0.5239677169281326,31.075739564017073
2025+,S6 平滑后×1.50 上限100%,1.035029467823804,0.5247210376879083,0.32746524282227074,-0.2343648812966781,2.2389064214090793,1.4522055475604847,2.2468765374547344,0.9150542556835681,18.317519256326705
2025全年,A6 暴露×1.20 上限100%,0.5369551304873172,0.5424242459322621,0.24964243569134933,-0.13210610728126593,4.105974031748508,1.8607549071614662,3.134514766610948,0.8332335688668806,17.220688466070648
2025全年,A7 暴露×1.30 上限100%,0.5241609062569894,0.5294788275148095,0.25103800809789173,-0.13754377861411737,3.849529457819217,1.8182258471270734,3.0361259977124453,0.84299066482103,16.815694966199686
2025全年,S1 平滑后×1.05,0.4792253002934277,0.4840193668627284,0.22898269859654224,-0.1255027202082849,3.8566444301720706,1.8385277780620732,3.08561794889801,0.7702284588328625,15.840684968453091
2025全年,A1 暴露×1.05,0.47488349866249835,0.47962754812283315,0.22568276874923576,-0.1239260406827758,3.8702725067330954,1.849007407097643,3.1010102996757056,0.7503517520120049,17.15785399377924
2025全年,S5 平滑后×1.30 上限100%,0.4739086852560772,0.4786415196426623,0.2777740817399811,-0.1743972591214613,2.7445472598242473,1.54712874101858,2.4398629691702687,0.9429362419050542,10.007058786085912
2025全年,S2 平滑后×1.10,0.46890280505883775,0.4735781325650228,0.23488897603947612,-0.1363903526568211,3.4722260287471616,1.7680770792199874,2.9186867445734235,0.7982173060105517,14.812401110104414
2025全年,基准（现状）,0.4675245223522999,0.47218404134852787,0.22155104184696583,-0.1213317916601101,3.8916761624296345,1.8565987020326178,3.1042089992661803,0.7391073463807016,17.406338119888776
2025全年,S6 平滑后×1.50 上限100%,0.46054251843115024,0.4651221222882511,0.2811455439872062,-0.1794508879695227,2.5919187558840378,1.4993680926797466,2.3386420914194668,0.9592860164629672,6.766379317211006
2025全年,A2 暴露×1.10,0.4585700110211903,0.4631270882927623,0.2265596556632865,-0.1274713528562884,3.6331856367359325,1.793194857538339,2.97746870145435,0.7574255582237946,17.087996034763524
2025全年,A3 暴露×1.15,0.4544489493362034,0.4589590349235395,0.2279650372427208,-0.12987468945376757,3.533860499330924,1.7710069547453646,2.9321082425791594,0.7636005192339881,16.696137522179963
2025全年,A4 暴露×1.20,0.45302120692299397,0.4575150349849695,0.23016242834421924,-0.1316999006981706,3.4739208804226767,1.7519443244251138,2.901262530597698,0.7725167115853495,16.056847103016075
2025全年,S3 平滑后×1.20,0.45176798201947,0.4562475494287024,0.2441182112496433,-0.15119671516688682,3.0175758046404035,1.6618209720891153,2.687326770129404,0.8263935262873214,11.923924945306084
2025全年,A5 暴露×1.30,0.4435529053986511,0.4479392163681648,0.23248608008560312,-0.1369941294665744,3.269769428167057,1.708421436312163,2.8009103710777037,0.785796931374024,15.757865742531848
2025全年,AB4 ×1.30 上限100% + 波动25%,0.4399870271825228,0.44433298027146195,0.22522938441111615,-0.1401827728021977,3.1696689357003227,1.7450303768065376,2.892901017353423,0.7725625734146837,17.31673710612983
2025全年,S4 平滑后×1.30,0.4157686770967379,0.419842493964635,0.2521604851564267,-0.164367755857024,2.5542874377979525,1.516451610894468,2.3814974186301585,0.861171816198818,10.001808013650148
