窗口,配置,累计,年化,波动,最大回撤,Calmar,夏普,索提诺,平均仓位,换手
2025+,AB3 ×1.20 + 波动20%双向,0.8151815868908767,0.42466944231158554,0.20156887194042927,-0.13519621617400224,3.1411340814821527,1.857710723734858,2.9033547939759967,0.5841024272104473,33.57142144335138
2025+,B2 波动目标25% 只降,0.7864425738878273,0.41123501904768966,0.1951476302304387,-0.13976403726123876,2.942352175181044,1.86367367355069,2.922820044846914,0.5699810430788514,33.977339152320724
2025+,B5 波动目标25% 双向,0.7819783143435797,0.4091402872868557,0.19748313349928406,-0.13976403726181352,2.9273645445747523,1.8364801049843347,2.8615335394567207,0.5772354365646499,33.44121806356607
2025+,B7 波动目标20% 双向1.5,0.7368365771972618,0.3878376038885911,0.17756866190937579,-0.11580786254312703,3.3489747187429564,1.935533964302069,3.04472967487831,0.5253630398753023,30.98367402649949
2025+,B3 波动目标20% 只降,0.7338737665358803,0.38643161397680803,0.17709753003787482,-0.11580786254312703,3.336834006697073,1.9344837936375843,3.040442212689513,0.519628454200158,31.391450709852826
2025+,B6 波动目标20% 双向,0.7333236075731782,0.3861704308159406,0.17743591987457896,-0.11580786254312747,3.3345786921171188,1.930066792527103,3.0347456287938432,0.5240056442604494,31.06361184155086
2025全年,A6 暴露×1.20 上限100%,0.4877417928967054,0.4926342777372217,0.2515048130232252,-0.13583510275987665,3.626708175780456,1.7186994885462676,2.739267326518311,0.8371877344105624,17.026338810215123
2025全年,A7 暴露×1.30 上限100%,0.4721891880493192,0.4769022530332787,0.25396244961785563,-0.14285068708546533,3.3384666378815107,1.6628439047247965,2.6164658447160787,0.8469448312378202,16.621345308088213
2025全年,S6 平滑后×1.50 上限100%,0.4464746841268705,0.4508941180743804,0.2849057078505356,-0.1784234292318032,2.5271015136055315,1.4491225102404035,2.2391815633764103,0.963400989085188,6.571596754226826
2025全年,S1 平滑后×1.05,0.4450345050877802,0.44943760615956974,0.2326706541358312,-0.13225120307742966,3.3983630825379896,1.7120653600047877,2.7069137102025316,0.7739404508103075,15.646921510482946
2025全年,S2 平滑后×1.10,0.43578441877198126,0.4400829023589703,0.23820863648193416,-0.14312643728609464,3.074784160799658,1.650584023303383,2.586432883336105,0.8019292950469461,14.61863765877284
2025全年,S5 平滑后×1.30 上限100%,0.43264092558416745,0.4369039698319861,0.281784353451327,-0.17506927657677585,2.4956061873048387,1.4276833906123143,2.1924037176874442,0.9470510661406054,9.81227663861656
2025全年,A1 暴露×1.05,0.42879340074375016,0.4330131469600469,0.22784970918980316,-0.12631938297348266,3.4279232273557385,1.693369613647228,2.669867716382754,0.7539312645636005,16.964377718877664
2025全年,S3 平滑后×1.20,0.42604819170250297,0.4302370976902503,0.24796095667050086,-0.15234063945251086,2.8241781000556374,1.5675828598087422,2.427832336881495,0.8301055230528563,11.730161476528185
2025全年,A4 暴露×1.20,0.4235056506528032,0.42766603261769975,0.23221626755512967,-0.13297141959085756,3.2162252154153994,1.6497491457748679,2.587914752939915,0.7761146647813422,15.863332273770155
2025全年,A2 暴露×1.10,0.421826282590259,0.42596784502529195,0.2286332079498008,-0.13054385468047547,3.2630248744217574,1.666808082865627,2.612650502872427,0.7610053030832865,16.89451927702791
2025全年,A3 暴露×1.15,0.4193405652275961,0.42345430235955406,0.2299789611059045,-0.1322466238777965,3.2020046330320655,1.6507151068793695,2.5845399949530945,0.7671829905742715,16.50265509221314
2025全年,A5 暴露×1.30,0.41896681958529114,0.4230763761257057,0.23606292050290476,-0.13703402271841103,3.0873820072777027,1.6130861658043045,2.5074853226220504,0.7894258547399201,15.564285129248061
2025全年,基准（现状）,0.41709119694111707,0.4211797858330326,0.22349089335254152,-0.12468787263428305,3.377872899222354,1.6849045684672597,2.643711667384031,0.7426433175096108,17.21295105435179
2025全年,AB4 ×1.30 上限100% + 波动25%,0.41094515961556555,0.4149651872641398,0.22608839668174124,-0.141456283366463,2.9335224805045303,1.6489151373194195,2.5625706821827063,0.7765370272516012,17.122334751823836
2025全年,S4 平滑后×1.30,0.40006382346733327,0.4039630152084128,0.2554908288367563,-0.15929650530902673,2.5359188792293206,1.456155159404518,2.2394730924325867,0.8648838206954504,9.808044527421428
2025全年,AB2 ×1.20 + 波动25%双向,0.3704051872618761,0.3739786275986514,0.20782238811627476,-0.13278262848902767,2.816472545047971,1.633267253421908,2.521574610519937,0.711061156366821,16.201041822912213
2025全年,AB3 ×1.20 + 波动20%双向,0.36738514873726213,0.37092571782678996,0.1898523585145879,-0.11820942326187123,3.1378692797195593,1.7573703999144534,2.7377214650140433,0.6641151992375048,15.45473855934982
2025全年,AB1 ×1.10 + 波动25%双向,0.367240471974418,0.3707794677448,0.19887554930792498,-0.12612152571392543,2.939858724717752,1.6859141079810922,2.6061343114641433,0.6885036042657752,16.0569421262753
