date,target,name_cn,layer,total,state,regime,regime_cn,score_global_fund,score_china_liquidity,score_china_macro,score_ashare_fund,score_risk_appetite,score_tech_cycle,score_tech_valuation,fwd_5,rel_5,dd_5,fwd_10,rel_10,dd_10,fwd_20,rel_20,dd_20,fwd_60,rel_60,dd_60
2026-05-08,idx_cyb,创业板指,tech_benchmark,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,0.03501884024985458,0.0375474162996684,-0.027057946930082344,0.03750505778519586,0.043009262294637085,-0.05164358659872781,0.042624221311820865,0.05391178151405773,-0.05164358659872781,-0.13002064208583064,-0.06254528538809057,-0.2578622681804551
2026-05-08,idx_csi_tech,中证科技(代理),tech_benchmark,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,0.027524196879459062,0.030052772929272886,-0.04372472542406136,0.09675288834046025,0.10225709284990148,-0.04372472542406136,0.07276561352597333,0.0840531737282102,-0.0869863297267075,-0.0911531064293315,-0.023677749731591424,-0.32907874403455883
2026-05-08,idx_semi,半导体(代理),tech_industry,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,0.06992639327024208,0.0724549693200559,-0.025383141762452044,0.15089379600420627,0.1563980005136475,-0.04265828468792088,0.09936908517350163,0.1106566453757385,-0.1286201022146508,-0.5157728706624605,-0.4482975139647204,-0.6935108153078202
2026-05-08,idx_ai,人工智能(代理),tech_industry,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,0.029645093945720236,0.03217366999553406,-0.04270186335403725,0.045929018789143905,0.05143322329858513,-0.052018633540372616,0.034237995824634604,0.04552555602687147,-0.06871401151631473,-0.5448851774530271,-0.47740982075528704,-0.6246000710984714
2026-05-08,idx_ce,消费电子(代理),tech_industry,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,0.027857142857143025,0.03038571890695685,-0.042581503659347875,0.12214285714285711,0.12764706165229833,-0.042581503659347875,0.1200000000000001,0.13128756020223697,-0.07857581338244324,-0.1171428571428571,-0.04966750044511703,-0.35624999999999996
2026-05-08,idx_comm,通信设备(代理),tech_industry,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,-0.6509136735979836,-0.6483850975481698,-0.6672672672672673,-0.6367359798361689,-0.6312317753267277,-0.6717717717717717,-0.611531190926276,-0.6002436307240391,-0.6717717717717717,-0.7148708254568368,-0.6473954687590967,-0.7354354354354354
2026-05-08,idx_software,计算机(代理),tech_industry,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,-0.03418181818181809,-0.03165324213200427,-0.05748757984386088,-0.05236363636363639,-0.046859431854195166,-0.0880056777856637,-0.13381818181818173,-0.12253062161594486,-0.15471965933286014,-0.15054545454545465,-0.08307009784771457,-0.20794889992902765
2026-05-11,idx_hs300,沪深300,benchmark_market,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,-0.023892749296877125,0.0,-0.03297453435559217,-0.006106824598628879,0.0,-0.04306307971723422,-0.04810356237493274,0.0,-0.05696008796516905,-0.0708640046108141,0.0,-0.10486143529859138
2026-05-11,idx_zz1000,中证1000,benchmark_market,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,-0.016529790581224724,0.007362958715652401,-0.03046112606104412,-0.00760896375109843,-0.0015021391524695504,-0.04968495709929399,-0.08859113326271018,-0.040487570887777435,-0.09761500458882733,-0.17904878423156823,-0.10818477962075412,-0.22944572169317734
2026-05-11,idx_zz2000,中证2000,benchmark_market,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,-0.015054352892278633,0.008838396404598492,-0.027440761325143614,-0.01092744994240169,-0.004820625343772811,-0.04977569338931942,-0.09758907656954618,-0.049485514194613445,-0.10608442535700358,-0.19350416444668328,-0.12264015983586918,-0.24888829399478407
2026-05-11,idx_kc50,科创50,tech_benchmark,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,-0.003919167747719388,0.019973581549157737,-0.04174003627947287,0.10447191719418347,0.11057874179281235,-0.04174003627947287,-0.06997473628043716,-0.021871173905504415,-0.15794575738764594,-0.05844557931508931,0.012418425295724789,-0.296655366156898
2026-05-11,idx_cyb,创业板指,tech_benchmark,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,-0.003588468643467735,0.02030428065340939,-0.030571525428933155,0.023463122942528836,0.029569947541157715,-0.05164358659872781,-0.029826870831927144,0.018276691543005597,-0.07594771004163559,-0.11199056038548494,-0.04112655577467084,-0.2578622681804551
2026-05-11,idx_csi_tech,中证科技(代理),tech_benchmark,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,0.0006027144335885026,0.024495463730465628,-0.04372472542406136,0.10068663599730598,0.10679346059593486,-0.04372472542406136,-0.016436971738796546,0.031666590636136194,-0.10640958462258387,-0.08514245860354364,-0.014278453992729534,-0.32907874403455883
2026-05-11,idx_semi,半导体(代理),tech_industry,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,0.019821605550049526,0.04371435484692665,-0.025383141762452044,0.1635282457879088,0.1696350703865377,-0.04265828468792088,-0.011397423191278344,0.036706139183654396,-0.15034071550255523,-0.5198216055500495,-0.4489576009392354,-0.6935108153078202
2026-05-11,idx_ai,人工智能(代理),tech_industry,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,0.007701661937576043,0.03159441123445317,-0.04270186335403725,0.055938386704499354,0.062045211303128234,-0.052018633540372616,-0.03567085528982572,0.01243270708510702,-0.0867562380038388,-0.5326307255776246,-0.4617667209668105,-0.6246000710984714
2026-05-11,idx_ce,消费电子(代理),tech_industry,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,0.008202323991797655,0.03209507328867478,-0.042581503659347875,0.11346548188653438,0.11957230648516326,-0.042581503659347875,0.02050580997949414,0.06860937235442688,-0.08348680171884582,-0.10868079289131927,-0.037816788280505165,-0.35624999999999996
2026-05-11,idx_comm,通信设备(代理),tech_industry,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,-0.6580782055168233,-0.6341854562199462,-0.6672672672672673,-0.6347377993331312,-0.6286309747345024,-0.6717717717717717,-0.6395877538648075,-0.5914841914898747,-0.6717717717717717,-0.7011215519854501,-0.630257547374636,-0.7354354354354354
2026-05-11,idx_software,计算机(代理),tech_industry,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,-0.0366116295764537,-0.012718880279576572,-0.05748757984386088,-0.05096913137114134,-0.04486230677251246,-0.0880056777856637,-0.18162239770279975,-0.133518835327867,-0.1909155429382542,-0.1342426417803303,-0.0633786371695162,-0.20794889992902765
2026-05-12,idx_hs300,沪深300,benchmark_market,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,-0.019232638655210743,0.0,-0.03297453435559217,-4.0015788047131906e-05,0.0,-0.04306307971723422,-0.029554286772134564,0.0,-0.05696008796516905,-0.0585871557000166,0.0,-0.10486143529859138
2026-05-12,idx_zz1000,中证1000,benchmark_market,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,-0.0015010394034745689,0.017731599251736174,-0.03046112606104412,-0.015261360749689978,-0.015221344961642846,-0.04968495709929399,-0.057038703851001515,-0.02748441707886695,-0.09761500458882733,-0.15062979156273493,-0.09204263586271832,-0.22944572169317734
2026-05-12,idx_zz2000,中证2000,benchmark_market,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,0.0018386244831449794,0.021071263138355723,-0.027440761325143614,-0.02000695635297145,-0.019966940564924318,-0.04977569338931942,-0.06790436296505109,-0.03835007619291653,-0.10608442535700358,-0.16490978463609518,-0.10632262893607858,-0.24888829399478407
2026-05-12,idx_kc50,科创50,tech_benchmark,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,0.029789695228636504,0.04902233388384725,-0.04174003627947287,0.08349363957433176,0.08353365536237889,-0.04174003627947287,-0.03519872559439008,-0.005644438822255515,-0.15794575738764594,-0.01747086641945872,0.04111628928055788,-0.296655366156898
2026-05-12,idx_cyb,创业板指,tech_benchmark,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,-0.006720404830437121,0.012512233824773622,-0.0321654999723896,0.027493581764332475,0.027533597552379607,-0.05164358659872781,0.00682790487745244,0.036382191649587,-0.07594771004163559,-0.1015885609784487,-0.0430014052784321,-0.2578622681804551
2026-05-12,idx_csi_tech,中证科技(代理),tech_benchmark,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,0.02742124301240989,0.046653881667620634,-0.04372472542406136,0.09937862856676571,0.09941864435481285,-0.04372472542406136,0.03534185029004533,0.06489613706217989,-0.10640958462258387,-0.03379022174008006,0.02479693395993654,-0.32907874403455883
2026-05-12,idx_semi,半导体(代理),tech_industry,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,0.05234567901234555,0.07157831766755629,-0.025383141762452044,0.146172839506173,0.14621285529422012,-0.04265828468792088,0.04148148148148145,0.07103576825361602,-0.15034071550255523,-0.4898765432098766,-0.43128938750986,-0.6935108153078202
2026-05-12,idx_ai,人工智能(代理),tech_industry,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,0.014877362283876039,0.03411000093908678,-0.04270186335403725,0.041415359871330715,0.04145537565937785,-0.052018633540372616,-0.010454362685967111,0.019099924086167452,-0.0867562380038388,-0.5291515882589466,-0.47056443255893,-0.6246000710984714
2026-05-12,idx_ce,消费电子(代理),tech_industry,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,0.034482758620689724,0.05371539727590047,-0.042581503659347875,0.12275862068965515,0.12279863647770228,-0.042581503659347875,0.08482758620689657,0.11438187297903113,-0.08348680171884582,-0.06068965517241365,-0.002102499472397046,-0.35624999999999996
2026-05-12,idx_comm,通信设备(代理),tech_industry,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,-0.6603603603603604,-0.6411277217051496,-0.6672672672672673,-0.6375375375375375,-0.6374975217494904,-0.6717717717717717,-0.6234234234234235,-0.5938691366512889,-0.6717717717717717,-0.6990990990990991,-0.6405119433990825,-0.7354354354354354
2026-05-12,idx_software,计算机(代理),tech_industry,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,0.0,0.019232638655210743,-0.05748757984386088,-0.042035398230088616,-0.041995382442041485,-0.0880056777856637,-0.1415929203539824,-0.11203863358184785,-0.1909155429382542,-0.08480825958702065,-0.02622110388700405,-0.20794889992902765
2026-05-13,idx_hs300,沪深300,benchmark_market,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,-0.02953819486541731,0.0,-0.03297453435559217,-0.01804018212439229,0.0,-0.04306307971723422,-0.04996636884790995,0.0,-0.05696008796516905,-0.06942942279659925,0.0,-0.10486143529859138
2026-05-13,idx_zz1000,中证1000,benchmark_market,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,-0.016362890651912765,0.013175304213504546,-0.03046112606104412,-0.04566304730517645,-0.027622865180784162,-0.04968495709929399,-0.08449874138052516,-0.03453237253261521,-0.09761500458882733,-0.15912349210486088,-0.08969406930826163,-0.22944572169317734
2026-05-13,idx_zz2000,中证2000,benchmark_market,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,-0.014942365633118238,0.014595829232299073,-0.027440761325143614,-0.05341822434558008,-0.03537804222118779,-0.05341822434558008,-0.09712275042135599,-0.04715638157344604,-0.10608442535700358,-0.17113380839204506,-0.10170438559544581,-0.24888829399478407
2026-05-13,idx_kc50,科创50,tech_benchmark,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,0.034954724099184986,0.0644929189646023,-0.04174003627947287,0.025593354676193503,0.04363353680058579,-0.04250233513375534,-0.06661763119108188,-0.016651262343171935,-0.15794575738764594,-0.03889789943999,0.030531523356609247,-0.296655366156898
2026-05-13,idx_cyb,创业板指,tech_benchmark,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,-0.028859432840233845,0.0006787620251834658,-0.0321654999723896,0.0018423443534745232,0.019882526477866813,-0.05164358659872781,-0.04544944659095718,0.004516922256952771,-0.07594771004163559,-0.12945267267459126,-0.06002324987799201,-0.2578622681804551
2026-05-13,idx_csi_tech,中证科技(代理),tech_benchmark,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,0.014169787139414858,0.04370798200483217,-0.04372472542406136,0.04786247765953977,0.06590265978393206,-0.04372472542406136,-0.020944975952336686,0.02902139289557326,-0.10640958462258387,-0.05323206612955267,0.01619735666704658,-0.32907874403455883
2026-05-13,idx_semi,半导体(代理),tech_industry,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,0.06657088122605348,0.09610907609147079,-0.025383141762452044,0.08477011494252884,0.10281029706692113,-0.04265828468792088,0.005747126436781658,0.055713495284691605,-0.15034071550255523,-0.49856321839080464,-0.4291337955942054,-0.6935108153078202
2026-05-13,idx_ai,人工智能(代理),tech_industry,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,-0.01552795031055898,0.014010244554858331,-0.04270186335403725,-0.013975155279503104,0.004065026844889186,-0.052018633540372616,-0.06288819875776397,-0.012921829909854021,-0.0867562380038388,-0.5461956521739131,-0.47676622937731383,-0.6246000710984714
2026-05-13,idx_ce,消费电子(代理),tech_industry,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,0.001996007984031989,0.0315342028494493,-0.042581503659347875,0.07651363938789113,0.09455382151228342,-0.042581503659347875,0.005988023952095967,0.055954392800005914,-0.08348680171884582,-0.08449767132401864,-0.015068248527419392,-0.35624999999999996
2026-05-13,idx_comm,通信设备(代理),tech_industry,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,-0.014705882352941124,0.014832312512476187,-0.04152249134948083,0.035467128027681705,0.053507310152073995,-0.054498269896193774,0.04498269896193774,0.09494906780984769,-0.07109374999999996,-0.12024221453287198,-0.05081279173627273,-0.38776928422515633
2026-05-13,idx_software,计算机(代理),tech_industry,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,-0.0503903477643719,-0.02085215289895459,-0.05748757984386088,-0.10149041873669273,-0.08345023661230044,-0.10149041873669273,-0.18239886444286735,-0.1324324955949574,-0.1909155429382542,-0.12491128459900636,-0.055481861802407106,-0.20794889992902765
