date,open,high,low,close
2020-12-01,2628.726,2700.28,2627.447,2698.443
2020-12-02,2697.444,2703.254,2662.177,2682.972
2020-12-03,2681.586,2721.848,2670.215,2712.518
2020-12-04,2701.369,2736.273,2696.947,2730.837
2020-12-07,2720.854,2739.765,2715.927,2726.483
2020-12-08,2736.029,2757.343,2735.834,2746.281
2020-12-09,2752.354,2763.414,2693.188,2697.826
2020-12-10,2689.215,2734.639,2675.458,2718.545
2020-12-11,2727.966,2733.938,2665.101,2687.781
2020-12-14,2695.191,2729.068,2674.508,2726.601
2020-12-15,2727.953,2761.319,2720.142,2758.854
2020-12-16,2764.337,2771.592,2732.578,2760.64
2020-12-17,2758.442,2789.248,2739.156,2785.615
2020-12-18,2787.776,2803.114,2768.468,2780.73
2020-12-21,2789.642,2882.443,2783.387,2882.443
2020-12-22,2867.21,2888.35,2809.922,2811.749
2020-12-23,2822.259,2865.472,2809.785,2842.97
2020-12-24,2838.938,2848.337,2811.928,2820.753
2020-12-25,2811.547,2841.567,2793.778,2840.801
2020-12-28,2847.12,2860.995,2823.003,2842.81
2020-12-29,2838.708,2843.715,2795.646,2812.997
2020-12-30,2828.014,2909.188,2827.067,2900.538
2020-12-31,2911.39,2969.753,2909.666,2966.256
2021-01-04,2977.321,3094.528,2963.414,3078.111
2021-01-05,3050.183,3100.001,3027.756,3097.977
2021-01-06,3113.847,3134.763,3057.564,3115.091
2021-01-07,3106.339,3162.398,3086.064,3162.398
2021-01-08,3179.365,3194.366,3115.992,3150.78
2021-01-11,3159.594,3159.594,3066.741,3092.861
2021-01-12,3079.84,3180.35,3057.735,3180.35
2021-01-13,3180.747,3207.071,3100.065,3130.298
2021-01-14,3101.962,3142.854,3061.018,3089.177
2021-01-15,3073.997,3109.87,3020.781,3089.945
2021-01-18,3078.026,3164.581,3056.805,3149.2
2021-01-19,3146.273,3157.464,3074.193,3084.488
2021-01-20,3106.348,3204.932,3098.427,3204.932
2021-01-21,3217.827,3303.322,3217.827,3283.721
2021-01-22,3282.041,3366.692,3281.399,3358.238
2021-01-25,3363.602,3427.444,3333.743,3355.24
