date,score,target,pos,equity,ops,available,locked,open,high,low,close
2026-01-27,38.25009470259949,0.85,0.7043129051579974,1.0633921849364105,开盘加仓2.0成(目标85%),0.00034402995401406825,0.00013731415181189696,1530.07,1562.579,1507.406,1555.978
2026-01-28,19.18926645317167,0.85,0.8703681312303567,1.0619899261880292,开盘加仓1.2成(目标85%)；回落(≤-1%)企稳加0.5成,0.0004813441058259652,0.00011315024036927184,1566.188,1569.435,1535.905,1554.804
2026-01-29,34.13742316831161,0.85,0.8668527688417145,1.0339511948440772,（无操作）,0.0005944943461952371,0.0,1550.989,1560.645,1507.299,1507.64
2026-01-30,39.46933113570603,0.85,0.999999966868458,1.0377586273718102,瀑布买2档；瀑布反弹全买0.0成,0.0005944943461952371,9.303528009998903e-05,1501.512,1522.329,1465.324,1509.402
2026-02-02,-41.26883134240701,0.3825,0.8104899337947861,1.002778571686067,开盘减仓1.9成(目标38%),0.0005601647656669667,0.0,1492.811,1508.543,1450.098,1450.898
2026-02-03,2.787424616569426,0.85,0.8627705916795211,1.0144089622651882,回落(≤-1%)企稳加0.5成,0.0005601647656669667,3.4778245557214744e-05,1475.568,1478.051,1430.004,1471.069
2026-02-04,-5.489264223908551,0.85,0.9113691119693049,1.0044411237045927,回落(≤-1%)企稳加0.5成,0.0005949430112241814,3.486898081153521e-05,1452.976,1455.124,1432.597,1453.476
2026-02-05,-71.45283374444016,0.03,0.6472794301086876,0.9894951500404193,开盘减仓2.6成(目标3%),0.00044709949083746915,0.0,1423.662,1441.163,1416.265,1432.522
2026-02-06,-26.310531159343533,0.6375,0.6456597853497452,0.9849722915911074,（无操作）,0.00044709949083746915,0.0,1415.047,1440.808,1405.874,1422.406
2026-02-09,31.73809524737377,0.85,0.8105924125372151,1.0013861410874945,开盘加仓1.6成(目标85%),0.00044709949083746915,0.0001095707908700246,1453.54,1458.927,1441.897,1458.163
2026-02-10,-9.634355203470662,0.85,0.8429615257490635,1.0089675447750537,开盘加仓0.3成(目标85%),0.0005566702817074937,2.132630474717074e-05,1463.348,1485.966,1463.348,1471.498
2026-02-11,56.69257950872395,0.85,0.8414736402773304,0.9994976487025804,（无操作）,0.0005779965864546645,0.0,1461.999,1467.281,1453.006,1455.114
2026-02-12,60.74956517843319,0.85,0.8438112621644992,1.0144567783566136,（无操作）,0.0005779965864546645,0.0,1463.609,1481.979,1454.628,1480.995
2026-02-13,78.45460108467488,0.85,0.8428566512242203,1.008294178751834,（无操作）,0.0005779965864546645,0.0,1470.259,1492.086,1466.707,1470.333
2026-02-24,82.60206143666984,0.85,0.8424078498460645,1.0054226917103273,（无操作）,0.0005779965864546645,0.0,1493.453,1493.774,1453.55,1465.365
2026-02-25,70.68091680030795,0.85,0.843122121605874,1.0100004246750482,（无操作）,0.0005779965864546645,0.0,1468.511,1481.291,1454.413,1473.285
2026-02-26,84.31441960441401,0.85,0.993728047461279,1.0202532977640666,瀑布买2档；瀑布反弹全买0.0成,0.0005779965864546645,0.00010433614061207224,1478.726,1494.749,1456.033,1485.865
2026-02-27,70.48487537670212,0.85,0.9512073853837627,1.0211138068079046,开盘减仓0.4成(目标85%),0.0006527392347786342,0.0,1468.078,1493.524,1463.731,1488.023
2026-03-02,49.97698875212036,0.85,0.9204813913831497,1.0058186127511157,开盘减仓0.3成(目标85%),0.0006320692340816294,0.0,1459.776,1486.549,1459.51,1464.772
2026-03-03,36.16369478588099,0.85,0.9164732031849125,0.9575525418981744,（无操作）,0.0006320692340816294,0.0,1467.764,1469.603,1385.593,1388.41
2026-03-04,12.31471962287975,0.85,0.9160937012834128,0.9532216035062471,（无操作）,0.0006320692340816294,0.0,1380.13,1407.003,1376.111,1381.558
2026-03-05,11.876608574078546,0.865,0.9678385852157766,0.9682601786149654,回落(≤-1%)企稳加0.5成,0.0006320692340816294,3.47522416554155e-05,1418.883,1423.612,1397.755,1405.353
2026-03-06,-23.42766611356294,0.6375,0.8700817403032006,0.97302635785504,开盘减仓1.0成(目标64%),0.0005985690456855714,0.0,1396.594,1422.001,1396.594,1414.394
2026-03-09,-55.80630152044189,0.3825,0.7239477419401604,0.956973025203467,开盘减仓1.5成(目标38%),0.0004982430282813197,0.0,1373.817,1398.245,1351.883,1390.483
2026-03-10,22.893671813705534,0.85,0.8258727978495464,0.9721203147750743,开盘加仓1.0成(目标85%),0.0004982430282813197,6.692816674371823e-05,1417.259,1424.719,1402.631,1420.539
2026-03-11,2.083572745980728,0.85,0.8238807579021665,0.9611249091758622,（无操作）,0.000565171195025038,0.0,1421.352,1427.095,1400.447,1401.084
2026-03-12,-22.227167294612386,0.6375,0.7659316562330578,0.9517871654367602,开盘减仓0.6成(目标64%),0.000526869415145098,0.0,1397.779,1412.525,1372.975,1383.652
2026-03-13,-65.64198726094003,0.03,0.5442085644777543,0.9465596503744054,开盘减仓2.2成(目标3%),0.00037500900422151153,0.0,1374.65,1392.434,1365.622,1373.636
2026-03-16,-66.8193872156416,0.03,0.39207305375169754,0.9492252127989076,开盘减仓1.5成(目标3%),0.0002687141669056624,0.0,1370.703,1386.554,1349.272,1384.987
2026-03-17,-74.56944079691127,0.03,0.2788829155718836,0.9432784234848736,开盘减仓1.1成(目标3%),0.0001942647817030361,0.0,1386.26,1390.844,1354.153,1354.153
2026-03-18,-39.97500086606789,0.3825,0.36355569118683967,0.9473306784802864,开盘加仓0.8成(目标38%),0.0001942647817030361,5.6655720766334114e-05,1363.54,1373.857,1348.23,1372.576
2026-03-19,-87.47851606946334,0.03,0.2592861342041155,0.9395245364160646,开盘减仓1.0成(目标3%),0.0001819264372952704,0.0,1348.553,1354.721,1333.68,1339.034
2026-03-20,-74.94213824684998,0.03,0.1880266411275182,0.9370067335649488,开盘减仓0.7成(目标3%),0.0001336427924801163,0.0,1344.93,1347.367,1317.405,1318.307
2026-03-23,-78.95425549523819,0.0375,0.1378506357087817,0.9303914913922531,开盘减仓0.4成(目标4%),0.0001016736918869287,0.0,1292.892,1305.793,1254.848,1261.438
2026-03-24,-58.82335162697639,0.4125,0.2911668325070239,0.9343108760063346,开盘加仓1.5成(目标41%),0.0001016736918869287,0.00010908106108518469,1281.579,1291.918,1249.011,1290.791
2026-03-25,-57.379962979035625,0.4325,0.3578893868734193,0.9410565105674646,开盘加仓1.1成(目标43%)；瀑布卖2档,0.0001754440533927483,8.059294306176886e-05,1299.631,1326.649,1299.626,1315.412
2026-03-26,-33.313832526799615,0.4325,0.4128159704866735,0.9331383389579462,开盘加仓0.6成(目标43%),0.00025603699645451717,4.2855241867626515e-05,1313.965,1316.455,1285.384,1288.807
2026-03-27,-85.48311649732068,0.0375,0.20332797911393935,0.9332597141331153,开盘减仓1.1成(目标4%)；瀑布卖2档；瀑布卖2档,0.00014588271102584886,0.0,1265.531,1308.945,1265.531,1300.756
2026-03-30,-90.78541234098992,0.0375,0.15276352653259678,0.931251907295175,开盘减仓0.5成(目标4%),0.00011029890791345643,0.0,1278.993,1294.543,1269.319,1289.78
2026-03-31,-82.81898147888198,0.06,0.14939323133134147,0.9275620779287462,（无操作）,0.00011029890791345643,0.0,1283.899,1296.034,1256.327,1256.327
2026-04-01,-6.608533039681156,0.85,0.30403176061832465,0.9329284923399452,开盘加仓1.5成(目标85%),0.00011029890791345643,0.00010818848157344215,1290.638,1302.871,1282.313,1298.198
2026-04-02,-0.4365284135517306,0.85,0.44712586828178247,0.9214868840026555,开盘加仓1.5成(目标85%),0.00021848738948689858,0.00010794780220491888,1294.63,1294.63,1254.625,1262.182
2026-04-03,21.974533886303742,0.88,0.6461398432297321,0.917304068113221,开盘加仓2.0成(目标88%),0.00032643519169181745,0.0001453861652187883,1270.936,1272.837,1254.759,1256.21
2026-04-07,2.806227462382365,0.865,0.798687930744052,0.9269808234977308,开盘加仓1.5成(目标86%),0.00047182135691060576,0.00010930868924961981,1261.711,1286.53,1261.711,1274.015
2026-04-08,19.75265607989264,0.85,0.8443167673261732,0.9736245438602413,开盘加仓0.4成(目标85%),0.0005811300461602256,2.6583572758460688e-05,1317.276,1352.689,1316.634,1352.689
2026-04-09,74.694635400974,0.9,0.8891575322777983,0.9685758031472443,开盘加仓0.5成(目标90%),0.0006077136189186863,3.309819267968918e-05,1335.287,1362.907,1333.012,1343.946
2026-04-10,73.24787195054151,0.85,0.8906442523305258,0.9817438450637794,（无操作）,0.0006408118115983756,0.0,1363.577,1382.937,1362.397,1364.495
2026-04-13,57.27660004716144,0.85,0.8914091922421071,0.9886594861345491,（无操作）,0.0006408118115983756,0.0,1358.463,1396.003,1358.463,1375.287
2026-04-14,52.21005279109139,0.85,0.8934658880594174,1.0077460659430066,（无操作）,0.0006408118115983756,0.0,1398.4,1409.848,1387.418,1405.072
2026-04-15,72.3339047933766,0.9,0.8935505002686237,1.0085470807075045,（无操作）,0.0006408118115983756,0.0,1415.392,1433.354,1399.754,1406.322
2026-04-16,70.90202261893572,0.85,0.8946155547483006,1.0187398333827884,（无操作）,0.0006408118115983756,0.0,1406.319,1424.173,1402.196,1422.228
2026-04-17,32.32905075793644,0.85,0.8946899451349133,1.0194594650472135,（无操作）,0.0006408118115983756,0.0,1414.873,1433.795,1413.576,1423.351
2026-04-20,81.90985704891085,0.9,0.8964582842017809,1.0368703219683413,（无操作）,0.0006408118115983756,0.0,1426.893,1451.39,1426.034,1450.521
2026-04-21,81.86851512255942,0.85,0.9999474905323433,1.0217745879550864,瀑布买2档,0.0006408118115983756,7.534253526178114e-05,1445.204,1445.539,1415.599,1426.677
2026-04-22,83.26757226263177,0.85,0.9558849022779916,1.0382920544266563,开盘减仓0.4成(目标85%),0.0006839370308300166,0.0,1420.776,1451.461,1420.244,1451.139
2026-04-23,60.80248328201873,0.85,0.9228038568878623,1.0263552347182137,开盘减仓0.3成(目标85%),0.0006611265239056303,0.0,1466.124,1467.699,1419.009,1432.592
2026-04-24,55.58743611647945,0.85,0.9999999810107989,1.0420592999755764,瀑布买2档；瀑布反弹全买0.0成,0.0006611265239056303,5.571328677392059e-05,1443.037,1472.957,1417.206,1453.685
2026-04-27,56.76922065165785,0.85,0.9558785988274243,1.080276570104922,开盘减仓0.4成(目标85%),0.0006845820226122566,0.0,1478.314,1515.282,1466.664,1508.385
2026-04-28,-18.34933643313193,0.6375,0.9097583320039792,1.0675162384528858,开盘减仓1.0成(目标64%)；回落(≤-1%)企稳加0.5成,0.0006162216694392597,3.61644631201743e-05,1497.322,1525.342,1479.673,1488.661
2026-04-29,-49.91352439920499,0.3825,0.7535085709783808,1.0683951098342197,开盘减仓1.6成(目标38%),0.0005390305840633095,0.0,1474.117,1495.009,1451.712,1493.505
2026-04-30,-71.34078745033943,0.03,0.44886203593396706,1.0989724508100989,开盘减仓2.2成(目标3%)；瀑布卖2档；瀑布卖2档,0.00031398256068715326,0.0,1511.388,1580.515,1511.388,1571.065
2026-05-06,-19.607267597385363,0.6375,0.5062503612645409,1.1289635034726286,开盘加仓1.4成(目标64%)；瀑布卖2档；瀑布卖2档,0.00024702977972582515,9.790492634637038e-05,1634.313,1715.081,1631.651,1656.946
2026-05-07,82.7246972670356,0.9,0.9008244332923387,1.140509321348882,开盘加仓3.9成(目标90%加速),0.00034493470607219553,0.0002670175355430748,1663.159,1682.222,1646.944,1678.887
2026-05-08,45.60624211457074,0.9,0.9999494285525429,1.1177664166165102,瀑布买2档,0.0006119522416152704,6.93870714742917e-05,1653.311,1655.572,1625.608,1640.46
2026-05-11,85.61121407952756,0.9,0.9015698335087308,1.1676698475752099,开盘减仓1.0成(目标90%),0.0006132355269944021,0.0,1687.643,1727.305,1669.733,1716.691
2026-05-12,85.48030612162029,0.9,0.9019351343220665,1.1720195271681813,（无操作）,0.0006132355269944021,0.0,1708.211,1747.172,1687.963,1723.784
2026-05-13,20.621674993481744,0.85,0.9042576991748271,1.2004509659062226,（无操作）,0.0006132355269944021,0.0,1684.368,1771.492,1677.544,1770.147
2026-05-14,23.4385581743944,0.85,0.9020022537419351,1.172822252473017,（无操作）,0.0006132355269944021,0.0,1792.342,1800.606,1723.699,1725.093
2026-05-15,40.931613539012304,0.9,0.9005022822740357,1.1551414457587144,（无操作）,0.0006132355269944021,0.0,1724.355,1769.804,1669.987,1696.261
2026-05-18,9.669220272796494,0.85,0.9012208067701596,1.1635439989495915,（无操作）,0.0006132355269944021,0.0,1690.382,1748.104,1684.901,1709.963
2026-05-19,-7.791169596896093,0.85,0.8565931785194228,1.2040445568652736,瀑布卖2档；瀑布卖2档；回落(≤-1%)企稳加0.5成,0.0005466388252237407,3.437408593188107e-05,1697.402,1776.256,1670.358,1775.135
2026-05-20,-49.00696951180159,0.3825,0.6236479229978289,1.22854744933738,开盘减仓1.4成(目标38%)；瀑布卖2档；瀑布卖2档,0.00041821608314940404,0.0,1764.213,1835.221,1764.213,1832.022
2026-05-21,-21.755091086265946,0.6375,0.6147500031416447,1.2001723245278595,（无操作）,0.00041821608314940404,0.0,1866.287,1892.595,1759.939,1764.174
2026-05-22,29.044243844081283,0.9,0.9999999750585499,1.2129145918487818,开盘加仓2.8成(目标90%加速)；瀑布买2档；瀑布反弹全买0.0成,0.00041821608314940404,0.0002590980801897013,1790.744,1797.649,1747.139,1790.771
2026-05-25,-33.65285371764624,0.3825,0.7268616658146765,1.266700703229983,开盘减仓1.9成(目标38%)；瀑布卖2档；瀑布卖2档,0.0004856003249084104,0.0,1791.67,1899.967,1774.194,1896.037
2026-05-26,-49.05822906563854,0.3825,0.6209925713312269,1.253546038912401,开盘减仓1.0成(目标38%),0.0004167901841166295,0.0,1877.388,1880.648,1824.322,1867.709
2026-05-27,23.41259327932918,0.9,0.8171379781491975,1.223606248804223,开盘加仓2.0成(目标90%),0.0004167901841166295,0.00013395733603048917,1875.422,1901.966,1809.705,1815.451
2026-05-28,42.16325227098669,0.9,0.9019097994184888,1.2416251712411184,开盘加仓0.8成(目标90%加速),0.0005507475201471186,5.645568785083828e-05,1805.113,1854.52,1796.035,1844.249
2026-05-29,27.426117935951712,0.85,0.8972399249643697,1.1852002059347004,（无操作）,0.0006072032079979569,0.0,1850.273,1855.256,1727.621,1751.323
2026-06-01,76.68608381151135,0.9,0.892409747102195,1.1319915960210474,（无操作）,0.0006072032079979569,0.0,1751.232,1753.02,1662.821,1663.694
2026-06-02,39.24659660236532,0.85,0.9999999735764278,1.1511460434820076,瀑布买2档；瀑布反弹全买0.0成,0.0006072032079979569,7.37234523500565e-05,1676.309,1710.98,1641.167,1690.558
2026-06-03,39.9522676936306,0.85,0.9557317582885875,1.1745027218998383,开盘减仓0.4成(目标85%),0.0006502849652012531,0.0,1697.659,1776.202,1697.36,1726.181
2026-06-04,52.137556720161534,0.9,0.9019832234640711,1.1807791141883333,开盘减仓0.6成(目标90%),0.0006127772139004737,0.0,1700.312,1759.984,1697.221,1738.059
2026-06-05,14.092725049357384,0.85,0.8983031093559405,1.1380501590630534,（无操作）,0.0006127772139004737,0.0,1706.531,1735.078,1659.479,1668.329
2026-06-08,-45.09119698811785,0.3825,0.6424543292385592,1.0948522687992726,开盘减仓1.5成(目标38%)；瀑布卖2档；瀑布卖2档,0.00044056592710025846,0.0,1587.969,1634.033,1578.179,1596.566
2026-06-09,-21.988486696745262,0.6375,0.6024344490531808,1.1241320172841693,瀑布卖2档,0.0004071987178805654,0.0,1630.232,1666.481,1607.578,1663.109
2026-06-10,-66.64177303787731,0.03,0.330771749404198,1.1239548696976707,开盘减仓1.7成(目标3%)；瀑布卖2档；瀑布卖2档,0.0002250133871080834,0.0,1662.846,1722.334,1632.327,1652.224
2026-06-11,-54.171042903427605,0.3825,0.3744594111859655,1.126742315245716,开盘加仓0.4成(目标38%),0.0002250133871080834,2.878240648951815e-05,1644.603,1676.531,1631.936,1662.436
2026-06-12,6.806099169932878,0.85,0.5742148836279669,1.1185169725251363,开盘加仓2.0成(目标85%),0.00025379579359760155,0.00013236400910716646,1726.005,1730.893,1656.845,1663.221
2026-06-15,38.9756271374492,0.9,0.9999999759230043,1.1700287414444672,开盘加仓3.2成(目标90%加速)；瀑布买2档；瀑布反弹全买0.0成,0.000386159802704768,0.0002830681978361438,1687.67,1748.512,1658.324,1748.326
2026-06-16,1.8658414605364035,0.85,0.999977617517973,1.1772676906275437,开盘减仓0.4成(目标85%)；回落(≤-1%)企稳加0.5成,0.00063911274461746,3.037387547793061e-05,1751.705,1766.138,1729.037,1758.424
2026-06-17,10.398354227898963,0.9,0.9999786193589669,1.2324313796635433,（无操作）,0.0006694866200953906,0.0,1729.228,1841.365,1725.901,1840.821
2026-06-18,-39.56945839771697,0.3825,0.7234799979277632,1.2681822207989664,开盘减仓1.9成(目标38%)；瀑布卖2档；瀑布卖2档,0.0004799886113647474,0.0,1837.07,1937.301,1836.038,1911.513
2026-06-22,29.303058162261152,0.9,0.9999999753980278,1.292752947779965,开盘加仓1.8成(目标90%加速)；瀑布买2档；瀑布反弹全买0.0成,0.0004799886113647474,0.00018332625505191496,1922.474,1963.327,1879.59,1948.928
2026-06-23,4.6347876317056524,0.85,0.9999773786075419,1.271571863744333,开盘减仓0.4成(目标85%)；回落(≤-1%)企稳加0.5成,0.00063346570163163,3.010549978980165e-05,1929.266,1982.906,1890.163,1916.212
2026-06-24,-58.17581465470879,0.3825,0.7251158242665544,1.3052598585605395,开盘减仓1.9成(目标38%)；瀑布卖2档；瀑布卖2档,0.00047574756649514577,0.0,1896.341,1997.905,1886.741,1989.426
2026-06-25,-3.420523763818061,0.85,0.7319300142371902,1.3446380081958096,开盘加仓1.0成(目标85%)；瀑布卖2档；瀑布卖2档,0.0004117160917898452,6.457784005487176e-05,2004.775,2076.882,2000.801,2066.331
2026-06-26,29.53424410643146,0.9,0.9999999750331826,1.3298818919968662,开盘加仓1.7成(目标90%加速)；瀑布买2档；瀑布反弹全买0.0成,0.000476293931844717,0.00017808402851611247,2034.433,2076.465,1976.923,2032.284
2026-06-29,3.974952658142753,0.85,0.9999784441573673,1.3917823715514437,开盘减仓0.4成(目标85%)；回落(≤-1%)企稳加0.5成,0.0006249309562956345,2.9699885459024117e-05,2039.667,2127.801,2013.512,2126.011
2026-06-30,33.96919823727026,0.9,0.9031107363776316,1.4403890562525898,开盘减仓1.0成(目标90%),0.0005891804169469413,0.0,2132.882,2214.613,2113.95,2207.865
2026-07-01,-13.576594580197282,0.6375,0.7189475236290658,1.4160025418272135,开盘减仓0.8成(目标64%)；瀑布卖2档；瀑布回吐全卖0.5成,0.00047283380819572007,0.0,2205.656,2255.248,2120.363,2153.043
2026-07-02,-30.04952187546556,0.3825,0.5034204141643854,1.348817929969881,开盘减仓1.0成(目标38%)；瀑布卖2档；瀑布回吐全卖0.5成,0.0003416824616715854,0.0,2059.898,2105.291,1978.32,1987.291
2026-07-03,-61.50926529682809,0.03,0.26198695048929926,1.3481354835450037,开盘减仓1.4成(目标3%)；瀑布卖2档；瀑布卖2档,0.00017877804422978963,0.0,1978.755,2039.306,1948.172,1975.6
2026-07-06,-53.658533348029216,0.3825,0.35695183320049306,1.3505409690665515,开盘加仓0.9成(目标38%),0.00017877804422978963,6.273157462288274e-05,2015.181,2022.91,1913.822,1996.103
2026-07-07,-53.8369890238709,0.3825,0.2585428508418606,1.3523611768710233,瀑布卖2档；瀑布卖2档,0.0001746831332933424,0.0,1965.795,2039.598,1950.979,2001.586
2026-07-08,-94.76457310337294,0.03,0.09311707817810151,1.3584842161790331,开盘减仓0.7成(目标3%)；瀑布卖2档；瀑布卖2档,6.273981279031739e-05,0.0,2022.451,2078.642,1961.638,2016.233
2026-07-09,-95.13775882668288,0.03,0.0,1.3632414482151494,瀑布卖2档；瀑布卖2档,0.0,0.0,2047.238,2188.982,2023.544,2185.825
2026-07-10,-87.36973134757847,0.03,0.0,1.3632414482151494,（无操作）,0.0,0.0,2190.178,2233.538,2064.976,2064.976
2026-07-13,-73.56985064957448,0.03,0.0,1.3632414482151494,（无操作）,0.0,0.0,2038.362,2110.179,1974.055,1994.319
2026-07-14,-95.70492448826052,0.03,0.0,1.3632414482151494,（无操作）,0.0,0.0,1994.44,2026.471,1895.555,2009.73
2026-07-15,-73.97554288574364,0.03,0.0,1.3632414482151494,（无操作）,0.0,0.0,2021.578,2028.652,1908.178,1924.274
2026-07-16,-60.78424199177561,0.03,0.0,1.3632414482151494,（无操作）,0.0,0.0,1869.936,1947.247,1828.573,1846.877
2026-07-17,-76.67119927453804,0.03,0.0,1.3632414482151494,（无操作）,0.0,0.0,1829.981,1844.379,1698.323,1715.404
2026-07-20,-69.47168010202967,0.06,0.04678750849797777,1.361507397637863,开盘加仓0.5成(目标6%),0.0,3.706400743417435e-05,1764.593,1776.073,1646.387,1718.69
2026-07-21,-51.475085646507566,0.4325,0.1609934875961837,1.3819332093600591,开盘加仓1.5成(目标43%)；瀑布卖2档,0.0,0.00011690143240632979,1747.49,1904.858,1663.85,1903.161
2026-07-22,-74.75812036225201,0.03,0.022262172109915077,1.3813096116607413,开盘减仓0.4成(目标3%)；瀑布卖2档；瀑布卖2档,1.653201456485665e-05,0.0,1874.779,1934.605,1836.107,1860.085
2026-07-23,-73.2258111674805,0.03,0.021437767653871495,1.3801459066235064,（无操作）,1.653201456485665e-05,0.0,1876.613,1876.986,1770.532,1789.694
2026-07-24,-84.71477071397496,0.0375,0.0,1.3803275833444935,瀑布卖2档,0.0,0.0,1766.259,1831.276,1748.797,1787.196
2026-07-27,-86.83203027500652,0.0375,0.03043004509364782,1.3809398167391447,开盘加仓0.3成(目标4%),0.0,2.3242920242299672e-05,1780.72,1816.43,1724.466,1807.951
2026-07-28,-85.57141518737109,0.08,0.038917981928994004,1.37852039022739,开盘加仓0.4成(目标8%)；瀑布卖2档,0.0,3.167989188860288e-05,1755.867,1797.584,1675.988,1693.479
2026-07-29,-87.52537678430986,0.045,0.03859229146514999,1.37805339694106,（无操作）,3.167989188860288e-05,0.0,1704.585,1711.579,1608.141,1678.738
2026-07-30,-83.74183208199305,0.09,0.07669651963990463,1.3729118405382628,开盘加仓0.4成(目标9%),3.167989188860288e-05,3.461107107869502e-05,1653.467,1671.509,1561.996,1588.415
2026-07-31,12.53183963080505,0.9,0.2723152305239966,1.3622236027824737,开盘加仓2.0成(目标90%),6.62909629672979e-05,0.00016045894590401968,1721.355,1731.206,1635.685,1635.962
2026-08-03,-16.488626999618937,0.6525,0.41008083489009106,1.334933317386973,开盘加仓1.5成(目标65%),0.00022674990887131758,0.0001257738174175044,1619.294,1621.993,1549.739,1552.89
2026-08-04,-14.705375948456698,0.6975,0.47114245568877866,1.362170416910219,开盘加仓1.5成(目标70%)；瀑布卖2档；瀑布卖2档,0.0002689791379866325,0.0001280717104576403,1569.623,1631.012,1556.112,1616.358
2026-08-05,38.21522263625464,0.9,0.6813193173601928,1.4059438039457406,开盘加仓2.0成(目标90%),0.0003970508484442728,0.00016852438398091605,1615.261,1715.276,1615.261,1693.668
2026-08-06,50.59166942117738,0.9,0.8588103525972234,1.4176624397412338,开盘加仓1.8成(目标90%),0.0005655752324251889,0.00015005922640845573,1651.108,1727.735,1651.108,1701.292
2026-08-07,65.63270284001126,0.9,0.8942950266586029,1.4495089953552323,开盘加仓0.3成(目标90%),0.0007156344588336446,2.7640109430950487e-05,1697.37,1747.737,1686.661,1744.024
2026-08-10,68.668772300043,0.9,0.9999470789297437,1.446907036281851,瀑布买2档,0.0007432745682645951,8.930231711459089e-05,1740.136,1752.931,1704.084,1737.774
2026-08-11,18.60697396330611,0.865,0.8648020362760807,1.4236949138585635,开盘减仓1.3成(目标86%),0.0007202176659185652,0.0,1713.258,1753.137,1699.915,1709.503
2026-08-12,22.51742931282991,0.88,0.8666562620087079,1.443492257059333,（无操作）,0.0007202176659185652,0.0,1720.364,1747.945,1709.164,1736.991
2026-08-13,24.71506202329373,0.85,0.8653636012124538,1.4296331085140621,（无操作）,0.0007202176659185652,0.0,1763.456,1782.782,1715.335,1717.748
2026-08-14,84.24507525177859,0.9,0.9999327346984554,1.4300423596535778,瀑布买2档,0.0007202176659185652,0.00011226975892800645,1738.817,1741.347,1690.675,1717.679
2026-08-17,65.22883797950217,0.85,0.9565950145170131,1.4867387091607986,开盘减仓0.4成(目标85%),0.0007950397389790533,0.0,1721.546,1788.85,1718.605,1788.85
2026-08-18,12.90808806222309,0.85,0.9746661723748308,1.4891058896810647,开盘减仓0.3成(目标85%)；回落(≤-1%)企稳加0.5成,0.0007684747246543858,4.195701859291161e-05,1786.369,1798.779,1753.971,1790.874
2026-08-19,13.33070801783794,0.85,0.9342383054991911,1.391314585646101,开盘减仓0.4成(目标85%),0.0007794943982008704,0.0,1738.913,1748.523,1653.668,1667.516
