center,scale,rho,cw,sw,avg_pos,obj,累计收益,年化收益,年化波动,最大回撤,Calmar,平均仓位,换手率,操作日占比,基准累计,基准年化,基准最大回撤
0.4,55.0,0.2,0.1,0.1,0.25700807751620197,-1.2195416420180827,0.13575856326928504,0.019382850870896196,0.07686715556467237,-0.22587165099501894,0.08581356175292507,0.25700807751620197,56.299433369573464,0.9969116738727609,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.35,55.0,0.2,0.15,0.2,0.2365149752689971,-1.2213403390046143,0.14145859530072147,0.02015271897675519,0.07232907466743509,-0.20703902180364941,0.09733778106751065,0.2365149752689971,56.898677353977234,0.9962940086473132,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.35,45.0,0.2,0.15,0.1,0.22565976559834613,-1.2249322689736175,0.15140058906314624,0.02148774378529339,0.07047517284423134,-0.19438876324360588,0.1105400509100682,0.22565976559834613,57.4612815568554,0.9981470043236566,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.4,55.0,0.2,0.15,0.1,0.26160490382255264,-1.2282448059421078,0.1409261383488456,0.020080941717181666,0.07832695468092465,-0.22817647870028024,0.08800618640258209,0.26160490382255264,56.71187541545747,0.9987646695491044,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.3,45.0,0.2,0.15,0.3,0.21447598673360338,-1.229357902194765,0.16695575836016818,0.023557003699258505,0.06914484706508076,-0.1808069738623178,0.13028813654719348,0.21447598673360338,58.12557094814323,0.9975293390982087,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.3,35.0,0.2,0.1,0.2,0.20724810960804438,-1.2297535605562224,0.1861014606985798,0.02607198490894813,0.068741229178391,-0.16922862404453398,0.15406368193413345,0.20724810960804438,58.56056167214518,0.9975293390982087,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.35,55.0,0.2,0.2,0.2,0.2406978727961945,-1.2314171345124967,0.14645839241644154,0.020825327608998245,0.07370614273836452,-0.20916252248482547,0.0995652919155682,0.2406978727961945,57.3830600439541,0.9975293390982087,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.35,45.0,0.2,0.2,0.1,0.22966255878587324,-1.2361429705837201,0.1563530773408104,0.022149121710873132,0.07182968546518773,-0.19660598993626954,0.11265741047896272,0.22966255878587324,57.99945486632292,0.9969116738727609,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.4,55.0,0.2,0.2,0.1,0.2662017827141045,-1.2372598177359462,0.14609912242538248,0.020777079179129077,0.07979531888980057,-0.2304787331190844,0.09014748952300912,0.2662017827141045,57.13987651777665,0.9987646695491044,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.35,55.0,0.2,0.1,0.3,0.2454873904218238,-1.2394617279597768,0.14980350785609997,0.021273947112274705,0.07499952869561358,-0.2138944616839339,0.0994600184819682,0.2454873904218238,57.68942221150422,0.9969116738727609,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.3,45.0,0.2,0.2,0.3,0.21829026371299856,-1.241998095492068,0.17240031953167412,0.024275745841008556,0.07050599241432862,-0.1827908510200783,0.13280613173764388,0.21829026371299856,58.743920791151865,0.9987646695491044,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.3,35.0,0.2,0.15,0.2,0.21102622919777125,-1.2433771908293334,0.19151703585156787,0.02677711863426313,0.07014279589066892,-0.17115930491629716,0.15644559112551942,0.21102622919777125,59.228732850272394,0.9962940086473132,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.4,55.0,0.2,0.1,0.2,0.27237467681065464,-1.2446629247322933,0.14829038550456808,0.021071156999410867,0.08148924566233483,-0.23674293047389872,0.0890043768455168,0.27237467681065464,57.36813082473774,0.9950586781964176,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.35,45.0,0.2,0.1,0.2,0.23466512152832458,-1.2470770407619325,0.1607249210227013,0.022730961784354076,0.07320717849114984,-0.2018095797354611,0.11263569258778794,0.23466512152832458,58.445160633927806,0.9981470043236566,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.35,55.0,0.2,0.15,0.3,0.24988712356003082,-1.2496781943552802,0.15520709983401582,0.02199629684576898,0.07644817584489787,-0.21612773654371453,0.10177452092697947,0.24988712356003082,58.180531146459586,0.9962940086473132,0.546852429532334,0.06799580633944835,-0.6265673853758704
