date,512800 银行ETF × sign,512800 银行ETF × sign±10,512800 银行ETF × pos(模型仓位),512800 银行ETF × 买入持有
2025-04-01,1.1965750434970257,1.1648115591152288,1.0432827781756413,1.044077134986226
2025-04-02,1.2060466137609909,1.174031703381468,1.0476928159047465,1.0523415977961432
2025-04-03,1.2107823988929736,1.1786417755145877,1.0479725759036063,1.056473829201102
2025-04-07,1.1456525191398437,1.1152407901835835,0.9816474705649856,1.0234159779614325
2025-04-08,1.1653797522590505,1.1344443573075123,0.9892436948349057,1.0234159779614325
2025-04-09,1.2155581359486491,1.1832907390342673,1.0238711374117486,1.0137741046831956
2025-04-10,1.2287665607886642,1.1961485418231257,1.0332392585592656,1.022038567493113
2025-04-11,1.2541607027734325,1.2208685878231031,1.0540403407693029,1.024793388429752
2025-04-14,1.2694995541397598,1.2358002642542216,1.0582251648188188,1.0303030303030303
2025-04-15,1.288168341025457,1.2539734819536035,1.056767714421416,1.0454545454545454
2025-04-16,1.3000486812962269,1.2655384546219053,1.063312471401908,1.0550964187327825
2025-04-17,1.301745872785964,1.2671905935964074,1.0654823684963537,1.056473829201102
2025-04-18,1.3136262132141252,1.2787555664179222,1.0605438856308191,1.0661157024793388
2025-04-21,1.2966542983167524,1.262234176672901,1.0640337090637944,1.0523415977961432
2025-04-22,1.3085346387449133,1.2737991494944159,1.0659877163630085,1.0619834710743803
2025-04-23,1.301745872785964,1.2671905935964074,1.0617298370278743,1.056473829201102
2025-04-24,1.3153234047038624,1.2804077053924243,1.0667366518686727,1.0674931129476584
2025-04-25,1.3166228555720512,1.27710342744342,1.0654516914420946,1.0647382920110193
2025-04-28,1.3143423731659825,1.2726344122486046,1.067643314548456,1.0730027548209367
2025-04-29,1.3156988776760075,1.2739512982815049,1.0686166145390743,1.0702479338842976
2025-04-30,1.3269047698935275,1.2848016245427214,1.07340569244421,1.0468319559228652
2025-05-06,1.3453899048450948,1.3027002197957707,1.086478311083883,1.0468319559228652
2025-05-07,1.3814850400100338,1.3376500438903234,1.091861770547978,1.0619834710743803
2025-05-08,1.3785039114881388,1.3347635076031645,1.094400263232227,1.0730027548209367
2025-05-09,1.3514862254466073,1.3086031020449493,1.0852288560347236,1.0867768595041323
2025-05-12,1.3571100780591245,1.3140485078771482,1.0894186748691483,1.0895316804407715
2025-05-13,1.3776988678042825,1.3339840082326637,1.0965604956027448,1.1060606060606062
2025-05-14,1.3897086967208594,1.345612761141387,1.1058209197465576,1.115702479338843
2025-05-15,1.3862773172232006,1.3422902604969975,1.0971132753689607,1.112947658402204
2025-05-16,1.3742674889813948,1.3306615082416346,1.0900056566312741,1.103305785123967
2025-05-19,1.3691204197349065,1.3256777572750507,1.0886962726450502,1.0991735537190084
2025-05-20,1.3742674889813948,1.3306615082416346,1.0918095006142376,1.103305785123967
2025-05-21,1.3828459377255418,1.3389677598526082,1.093000890891773,1.1101928374655647
2025-05-22,1.3948557659673475,1.350596512107971,1.0945664496548386,1.1198347107438016
2025-05-23,1.3811302479767125,1.3373065095304135,1.083394868714997,1.1088154269972452
2025-05-26,1.370836109483736,1.3273390075972453,1.0800846145176433,1.100550964187328
2025-05-27,1.379414558227883,1.3356452592082189,1.076747616037558,1.1074380165289257
2025-05-28,1.3776988684790537,1.333984008886024,1.0747740006084956,1.1060606060606062
2025-05-29,1.3759831787302241,1.3323227585638293,1.0858120423529103,1.1046831955922867
2025-05-30,1.3668550301965658,1.323484249326989,1.081922538686774,1.112947658402204
2025-06-03,1.3734060303664635,1.3298273840052517,1.0887584029583843,1.1322314049586777
2025-06-04,1.3795630009024944,1.3357889917456391,1.0930642639784605,1.1336088154269972
2025-06-05,1.3939670392465824,1.3497359849921438,1.102048256281806,1.1253443526170799
2025-06-06,1.38730083463221,1.343281301346107,1.097657485830387,1.128099173553719
2025-06-09,1.395652826562494,1.3513682816959158,1.1039782764893429,1.1322314049586777
2025-06-10,1.3750764283530101,1.33144477968838,1.0913732475470437,1.137741046831956
2025-06-11,1.3723190119217554,1.3287748570301767,1.0897350898636116,1.1418732782369145
2025-06-12,1.3681779907971925,1.324765231932114,1.0872563190192819,1.1460055096418733
2025-06-13,1.3611382548854356,1.3179488692654073,1.0808817470165437,1.1363636363636362
2025-06-16,1.358270317957951,1.315171932964384,1.0804054436312556,1.1501377410468319
2025-06-17,1.347346975748293,1.30459519216517,1.0723884456865451,1.1473829201101928
2025-06-18,1.3544762472519325,1.3114982494285914,1.0788218049542893,1.159779614325069
2025-06-19,1.3471511166410501,1.3044055477348562,1.0733944493788705,1.1584022038567494
2025-06-20,1.3400568199779896,1.2975363555482764,1.0696338218929304,1.1707988980716253
2025-06-23,1.345116979912971,1.3024359548657403,1.0747602142379244,1.1859504132231404
2025-06-24,1.3692146450719564,1.3257689928097034,1.0921557831625575,1.1887052341597797
2025-06-25,1.3928520413289214,1.348656366342429,1.1101961193884076,1.2011019283746556
2025-06-26,1.3849645152815273,1.3410191142130783,1.1058062818991288,1.2134986225895317
2025-06-27,1.382500887511137,1.3386336582003457,1.1007879799482159,1.1804407713498624
2025-06-30,1.4037697875640867,1.3592276887293482,1.1157696572089397,1.1790633608815426
2025-07-01,1.3917118615260433,1.347552364837388,1.1090019305527372,1.196969696969697
2025-07-02,1.3747014980620023,1.3310817460646363,1.0974424438951096,1.2024793388429753
2025-07-03,1.3779373703123787,1.3342149429740346,1.0997449206294783,1.2024793388429753
2025-07-04,1.377731718249774,1.3340158163222053,1.1017778767449955,1.2245179063360883
2025-07-07,1.3686256687566047,1.3251987049156884,1.095949615962755,1.231404958677686
2025-07-08,1.3877289266808976,1.3436958098866498,1.1091813633072682,1.2272727272727273
2025-07-09,1.375366020033005,1.3317251825246295,1.1015352329510835,1.2327823691460056
2025-07-10,1.3709983619414896,1.3274961117286324,1.0998879739997116,1.2479338842975207
2025-07-11,1.3912264107388057,1.3470823175708244,1.1118931290891798,1.2231404958677687
2025-07-14,1.3883458828687127,1.3442931898421384,1.1108019407383893,1.2327823691460056
2025-07-15,1.393741801273253,1.349517893897283,1.1134285789551839,1.2203856749311295
2025-07-16,1.3893204893021616,1.3452368716777876,1.114258277867276,1.2148760330578512
2025-07-17,1.3845945640035646,1.340660901616581,1.1207788458399575,1.2107438016528926
2025-07-18,1.3908953350537063,1.3467617470312399,1.1238608764896836,1.216253443526171
2025-07-21,1.3861697563395055,1.3421861125571872,1.1230104791192645,1.2121212121212122
2025-07-22,1.3888714615823414,1.3448020917621681,1.1264525434735213,1.194214876033058
2025-07-23,1.3951437912636095,1.3508753982623831,1.1314208955682228,1.2011019283746556
2025-07-24,1.4115202681053591,1.366732243853687,1.1409110446624608,1.1831955922865014
2025-07-25,1.4095773476266393,1.3648509729109226,1.161396578848143,1.1818181818181819
2025-07-28,1.4128643709171944,1.3680336978203778,1.1635983325585633,1.184573002754821
2025-07-29,1.3947928505321134,1.350535593001166,1.166415984234444,1.1694214876033058
2025-07-30,1.3837737504161551,1.3398661327269987,1.1628440018371142,1.1763085399449036
2025-07-31,1.3697844856297474,1.3263207521303362,1.1520130869914547,1.1680440771349863
2025-08-01,1.3725943137527326,1.3290414234392403,1.1425108060494584,1.174931129476584
2025-08-04,1.3882115692505033,1.344163138041295,1.1533036028787076,1.1818181818181819
2025-08-05,1.3938205811076887,1.3495941740204405,1.1599547724400787,1.199724517906336
2025-08-06,1.3884882418869513,1.3574267561105315,1.1659524923054705,1.1983471074380165
2025-08-07,1.3833647138405156,1.3554337067038722,1.1649421129398831,1.2038567493112948
2025-08-08,1.3641929955570204,1.3366457576698891,1.1498674148447448,1.1983471074380165
2025-08-11,1.3722889683368726,1.3445782480140027,1.1550757586585614,1.1887052341597797
2025-08-12,1.398537803934371,1.3702970391684441,1.175229106902658,1.1914600550964187
2025-08-13,1.4088509203260573,1.380401902130613,1.181979211919923,1.1804407713498624
2025-08-14,1.4193588211444592,1.3906976162249107,1.1898000801791346,1.1790633608815426
2025-08-15,1.4396961454828368,1.4106242676512588,1.2035961779683773,1.162534435261708
2025-08-18,1.4704550902895273,1.440762095086532,1.2271445815916688,1.165289256198347
2025-08-19,1.4540409073241314,1.424679364784467,1.214867018389155,1.1666666666666667
2025-08-20,1.5009473503777615,1.4706386229852,1.2508923962237501,1.1721763085399448
2025-08-21,1.5119849679104962,1.481453357189771,1.2524290126736344,1.177685950413223
2025-08-22,1.5066802608190335,1.4762557683933584,1.3342258580438893,1.1735537190082646
2025-08-25,1.5172906863359592,1.486651936898251,1.371215113740819,1.1818181818181819
2025-08-26,1.50844866602041,1.4779884640735752,1.3595492297551233,1.174931129476584
2025-08-27,1.488342279163356,1.4582880867930375,1.3507653247767808,1.1542699724517906
2025-08-28,1.5959946915626166,1.5637666670324035,1.4337198322174456,1.159779614325069
2025-08-29,1.5687508446773422,1.5370729569178574,1.411621636486549,1.1515151515151516
2025-09-01,1.5872732508338427,1.555221338923071,1.4271210837001376,1.137741046831956
2025-09-02,1.5535090692759712,1.5221389596777273,1.3967650061716312,1.159779614325069
2025-09-03,1.5222074159412808,1.491469382663115,1.3736020181732655,1.143250688705234
2025-09-04,1.5368798396533387,1.5058455251695961,1.320245424003914,1.1542699724517906
2025-09-05,1.573054159931248,1.541289375047169,1.3454195452298443,1.143250688705234
2025-09-08,1.5821271593484467,1.5501791627974832,1.351227913835551,1.137741046831956
2025-09-09,1.5445043576262298,1.5133160807555441,1.3231267665470132,1.1460055096418733
2025-09-10,1.5613292183452854,1.5298011959686542,1.3362784280225661,1.1473829201101928
2025-09-11,1.644333765953733,1.6111296273527895,1.4009892340656642,1.1528925619834711
2025-09-12,1.6591956435862418,1.6256913981243937,1.4104249465770191,1.1349862258953167
