center,scale,cw,sw,avg_actual,avg_target,locked_ratio,obj,累计收益,年化收益,年化波动,最大回撤,Calmar,平均仓位,换手率,操作日占比,基准累计,基准年化,基准最大回撤,目标平均仓位,实际平均仓位,平均锁仓率
0.4,45.0,0.2,0.1,0.3244240734359013,0.3439717770908956,0.11031592536239013,-1.6600899923074572,0.2164857158623923,0.02999337722337092,0.10348975810773724,-0.25994008249780187,0.11538573403209008,0.3244240734359013,78.00566641409637,0.6448424953675108,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.3439717770908956,0.3244240734359013,0.11031592536239013
0.3,35.0,0.1,0.1,0.24141009408100073,0.25782224566669154,0.15246346132852762,-1.66162446770217,0.22839406565923492,0.03150760875803171,0.08275226273649974,-0.18842581670528802,0.1672149247324848,0.24141009408100073,79.9459584053779,0.7004323656578134,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.25782224566669154,0.24141009408100073,0.15246346132852762
0.4,45.0,0.1,0.2,0.3305390249431312,0.35033636210346036,0.10825445740972357,-1.6630540906677203,0.2208783246927868,0.03055338798758145,0.10538901092089153,-0.26521812347304896,0.11520098094158424,0.3305390249431312,78.04992084593886,0.6374305126621371,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.35033636210346036,0.3305390249431312,0.10825445740972357
0.35,45.0,0.2,0.1,0.2826334901306726,0.30125555993574155,0.1288232871155165,-1.6653784879178375,0.19242243178893448,0.026894739859535166,0.09182012711425243,-0.23115419822487437,0.11634977891844768,0.2826334901306726,78.83480643324677,0.6621371216800495,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.30125555993574155,0.2826334901306726,0.1288232871155165
0.35,45.0,0.1,0.2,0.2880146750331653,0.30674363166710933,0.12561262436003298,-1.6690225379047816,0.19864117750203736,0.027700582474051272,0.09345527416733668,-0.2359331913099305,0.1174085863894528,0.2880146750331653,78.93782623619339,0.6547251389746758,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.30674363166710933,0.2880146750331653,0.12561262436003298
0.4,45.0,0.15,0.2,0.33551650789515863,0.355335335127782,0.10729032655204286,-1.673859223890047,0.2320967386952375,0.031975889444948224,0.10713309030778405,-0.26798738726819604,0.11931863574216438,0.33551650789515863,78.59207098504486,0.6479308214947499,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.355335335127782,0.33551650789515863,0.10729032655204286
0.3,45.0,0.2,0.2,0.255755418608751,0.2731205440574464,0.14203188539803094,-1.6742912590256052,0.20398378169198073,0.02839006185275128,0.08542967723607016,-0.2069669591824106,0.13717195230051027,0.255755418608751,79.95989206435755,0.6843730697961705,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.2731205440574464,0.255755418608751,0.14203188539803094
0.3,45.0,0.1,0.3,0.2598957433803682,0.2773842381409385,0.1407768336770286,-1.6773336140688064,0.2056081486057213,0.028599176294905826,0.08661308479601465,-0.210787098044952,0.13567802090432893,0.2598957433803682,80.02696206706182,0.6843730697961705,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.2773842381409385,0.2598957433803682,0.1407768336770286
0.3,35.0,0.15,0.1,0.24519727914616013,0.2616574755985678,0.15207530972260633,-1.6813193259843682,0.23299048217790697,0.03208874299298525,0.0842326810658736,-0.19167031841363413,0.1674163389437072,0.24519727914616013,80.87864548852681,0.7066090179122916,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.2616574755985678,0.24519727914616013,0.15207530972260633
0.4,45.0,0.2,0.2,0.34053414888174843,0.3603343081521036,0.10744171740313531,-1.6842060470394542,0.24551160090590418,0.03366253304140021,0.10884545858393825,-0.26912944706215236,0.12507933787574807,0.34053414888174843,79.16519282748891,0.6553428042001236,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.3603343081521036,0.34053414888174843,0.10744171740313531
